fixture	retained	prototype
fixtures2/00174_fold_capture_int.fz	{"applied": 231, "products": 230}	{"applied": 238, "products": 230}
fixtures2/00175_fold_capture_closure.fz	{"applied": 246, "products": 253}	{"applied": 253, "products": 253}
fixtures2/00176_fold_state_machine.fz	{"applied": 266, "products": 298}	{"applied": 273, "products": 298}
fixtures2/00177_enum_reduce_list_lambda.fz	{"applied": 407, "products": 415}	{"applied": 415, "products": 415}
fixtures2/00178_enum_reduce_named_ref_ok.fz	{"applied": 441, "products": 457}	{"applied": 448, "products": 457}
fixtures2/00179_enum_count_list.fz	{"applied": 425, "products": 268}	{"applied": 457, "products": 268}
fixtures2/00180_enum_reduce_range.fz	{"applied": 568, "products": 590}	{"applied": 575, "products": 590}
fixtures2/00181_enum_reduce_operator_ref.fz	{"applied": 350, "products": 387}	{"applied": 356, "products": 387}
fixtures2/00182_enum_reduce_erased_list.fz	{"applied": 384, "products": 383}	{"applied": 392, "products": 383}
fixtures2/00183_enum_take_list_range.fz	{"applied": 1534, "products": 1781}	{"applied": 1627, "products": 1781}
fixtures2/00184_receive_cont_capture.fz	{"applied": 69, "products": 82}	{"applied": 70, "products": 82}
fixtures2/00185_spawn_receive_capture.fz	{"applied": 303, "products": 248}	{"applied": 310, "products": 248}
fixtures2/00186_spawn_plain_child.fz	{"applied": 125, "products": 99}	{"applied": 127, "products": 99}
fixtures2/00187_string_literal_id.fz	{"applied": 69, "products": 68}	{"applied": 70, "products": 68}
fixtures2/00189_arithmetic_all_binops.fz	{"applied": 450, "products": 395}	{"applied": 466, "products": 395}
fixtures2/00191_poly_id_direct.fz	{"applied": 74, "products": 90}	{"applied": 75, "products": 90}
fixtures2/00194_zero_capture_lambda.fz	{"applied": 66, "products": 69}	{"applied": 67, "products": 69}
fixtures2/00195_lambda_capture_closure.fz	{"applied": 174, "products": 142}	{"applied": 178, "products": 142}
fixtures2/00197_poly_capture_ref.fz	{"applied": 95, "products": 136}	{"applied": 96, "products": 136}
fixtures2/00198_match_atom_partition.fz	{"applied": 74, "products": 86}	{"applied": 75, "products": 86}
fixtures2/00199_match_list_partition.fz	{"applied": 74, "products": 92}	{"applied": 75, "products": 92}
fixtures2/00200_match_list_binding.fz	{"applied": 74, "products": 93}	{"applied": 75, "products": 93}
fixtures2/00201_match_tuple_binding.fz	{"applied": 74, "products": 96}	{"applied": 75, "products": 96}
fixtures2/00202_match_nested_binding.fz	{"applied": 74, "products": 99}	{"applied": 75, "products": 99}
fixtures2/00203_match_nested_partition.fz	{"applied": 79, "products": 123}	{"applied": 80, "products": 123}
fixtures2/00204_match_tuple_tag.fz	{"applied": 74, "products": 102}	{"applied": 75, "products": 102}
fixtures2/00205_match_tuple_arity.fz	{"applied": 79, "products": 126}	{"applied": 80, "products": 126}
fixtures2/00206_match_guard_clause.fz	{"applied": 83, "products": 91}	{"applied": 84, "products": 91}
fixtures2/00207_match_map_binding.fz	{"applied": 74, "products": 92}	{"applied": 75, "products": 92}
fixtures2/00221_large_int_arithmetic.fz	{"applied": 120, "products": 90}	{"applied": 124, "products": 90}
fixtures2/00222_protocol_dispatch_integer.fz	{"applied": 193, "products": 191}	{"applied": 197, "products": 191}
fixtures2/00223_float_addition.fz	{"applied": 120, "products": 90}	{"applied": 124, "products": 90}
fixtures2/00224_float_in_list_dbg.fz	{"applied": 100, "products": 84}	{"applied": 102, "products": 84}
fixtures2/00225_named_fn_ref_no_alloc.fz	{"applied": 99, "products": 98}	{"applied": 100, "products": 98}
fixtures2/00226_zero_capture_lambda.fz	{"applied": 85, "products": 98}	{"applied": 86, "products": 98}
fixtures2/00227_lambda_capture_outer.fz	{"applied": 160, "products": 139}	{"applied": 165, "products": 139}
fixtures2/00228_case_joined_fn_ref.fz	{"applied": 224, "products": 180}	{"applied": 230, "products": 180}
fixtures2/00229_enum_reduce_lambda.fz	{"applied": 363, "products": 386}	{"applied": 370, "products": 386}
fixtures2/00230_enum_take_chained.fz	{"applied": 1534, "products": 1781}	{"applied": 1627, "products": 1781}
fixtures2/00231_joined_fn_refs_enum_reduce.fz	{"applied": 541, "products": 578}	{"applied": 549, "products": 578}
fixtures2/00232_float_equality_in_list.fz	{"applied": 100, "products": 92}	{"applied": 102, "products": 92}
fixtures2/00233_receive_float_in_list.fz	{"applied": 144, "products": 114}	{"applied": 146, "products": 114}
fixtures2/00234_large_int_send_receive.fz	{"applied": 144, "products": 113}	{"applied": 146, "products": 113}
fixtures2/00235_large_int_list_head.fz	{"applied": 69, "products": 71}	{"applied": 70, "products": 71}
fixtures2/00237_scalars_from_containers.fz	{"applied": 142, "products": 132}	{"applied": 144, "products": 132}
fixtures2/00238_heap_values_from_containers.fz	{"applied": 142, "products": 135}	{"applied": 144, "products": 135}
fixtures2/00239_typed_int_dispatch.fz	{"applied": 142, "products": 107}	{"applied": 147, "products": 107}
fixtures2/00240_large_int_from_spawn.fz	{"applied": 243, "products": 178}	{"applied": 248, "products": 178}
fixtures2/00241_pinned_ref_receive.fz	{"applied": 230, "products": 174}	{"applied": 233, "products": 174}
fixtures2/00242_spawn_tagged_receive.fz	{"applied": 286, "products": 213}	{"applied": 292, "products": 213}
fixtures2/00243_receive_after_zero.fz	{"applied": 100, "products": 90}	{"applied": 102, "products": 90}
